CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0201-46,01-403,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCACIONAL GUATEMALTECO,7A. CALLE 1-19,22533558.0,CARLOS HUMBERTO GONZALEZ DE LEON,----,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0202-46,01-312,CIUDAD CAPITAL,ZONA 1,"INSTITUTO MIXTO "" MIGUEL DE CERVANTES """,10ª. CALLE 1-47,24593860.0,AMADO SALOMON FLORES PEREZ,CARLOS RENE ESCOBAR MONTENEGRO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0203-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL CENTRAL PARA VARONES,9A AVE. 9-27,22328285.0,ERICK ESTUARDO SANCHEZ ARCHILA,CARLOS ALFREDO VALDEZ PAZ,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0204-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE BACHILLERATO ADSC. AL INCA,1A CALLE 2-64,22323114.0,ERICK ESTUARDO SANCHEZ ARCHILA,INGRID MARIELA ESPINA ORELLANA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0205-46,01-318,CIUDAD CAPITAL,ZONA 1,"INSTITUTO NORMAL CENTRAL PARA SEÑORITAS ""BELEN""",11 AVE. 12-20,22329609.0,LESLIE AZUCENA MONZON TECUN,ELSA CORALIA LEÓN BARRIOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0206-46,01-307,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,"9A CALLE 2-36,",22326422.0,NORMA ARACELY PALOMO FRANCO DE DIAZ,EVA ANGELINA RAMIREZ IXCAMPARIJ DE RAMÍREZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0207-46,01-307,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,9A CALLE 2-36,22533274.0,NORMA ARACELY PALOMO FRANCO DE DIAZ,FREDY AMILCAR CRUZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0208-46,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,55696890.0,CARLOS HUMBERTO GONZALEZ DE LEON,SANTOS PALMA CONTRERAS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0209-46,01-304,CIUDAD CAPITAL,ZONA 1,COLEGIO PARROQUIAL DEL CALVARIO MATEO PERRONE,6A AVE. 18-23,22322912.0,AMADO SALOMON FLORES PEREZ,---,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0210-46,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO CATOLICO SAN PABLO,14 CALLE A 2-41,22305024.0,LESLIE AZUCENA MONZON TECUN,EDGAR VINICIO PALENCIA PACHECO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0211-46,01-303,CIUDAD CAPITAL,ZONA 1,COLEGIO PARA VARONES SAN SEBASTIAN,2A CALLE 6-56,22536602.0,CLAUDIA PATRICIA RUIZ CASASOLA DE ESTRADA,ROLANDO MARROQUIN TANCHEZ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0212-46,01-307,CIUDAD CAPITAL,ZONA 1,"COLEGIO SALESIANO ""DON BOSCO""",26 CALLE 2-46 GUATEMALA,22465117.0,NORMA ARACELY PALOMO FRANCO DE DIAZ,MANUEL VICENTE GUERRA DUARTE,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0218-46,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,54452951.0,CARLOS HUMBERTO GONZALEZ DE LEON,ELUBIA ANAYTE SIGUENZA MONTERROSO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0219-46,01-312,CIUDAD CAPITAL,ZONA 1,CENTRO DE ESTUDIOS WINBRIDGE,8A CALLE 2-40,22324201.0,AMADO SALOMON FLORES PEREZ,GILDA NOEMÍ SOSA HURTADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0220-46,01-312,CIUDAD CAPITAL,ZONA 1,"LICEO "" FRANCES """,5A AVE. 9-80,22516728.0,AMADO SALOMON FLORES PEREZ,ANA MARIA ESTRADA RAMIREZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0222-46,01-317,CIUDAD CAPITAL,ZONA 1,"COLEGIO ""SANTA MONICA""",10A CALLE 11-41,22329121.0,MARIANO DOMINGO ESTRADA TELETOR,CONCEPCIÓN ARELY LÓPEZ NAVAS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0223-46,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO 'EL ROSARIO',15 CALLE 'A' 2-74,22320361.0,AMADO SALOMON FLORES PEREZ,TERESITA BEATRIZ HARANZEN QUINTEROS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0224-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO 'EUROPEO',11 CALLE 3-38,22325512.0,AMADO SALOMON FLORES PEREZ,---,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0225-46,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO COMERCIAL GUATEMALTECO,10A CALLE 11-44,22534824.0,LESLIE AZUCENA MONZON TECUN,CHARLOTTE ANN AFRE PYATT,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0226-46,01-317,CIUDAD CAPITAL,ZONA 1,COLEGIO BELGA GUATEMALTECO,9A CALLE 10-38,23148300.0,MARIANO DOMINGO ESTRADA TELETOR,GLORIA ESPERANZA LEÓN LÓPEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0227-46,01-317,CIUDAD CAPITAL,ZONA 1,"COLEGIO DE SEÑORITAS ""EL SAGRADO CORAZÓN""",9A. AVENIDA 13-57,24237900.0,MARIANO DOMINGO ESTRADA TELETOR,FLOR DE MARÍA MEDINA ESTRADA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0228-46,01-312,CIUDAD CAPITAL,ZONA 1,LICEO MODERNO,13 CALLE 2-74,22327624.0,AMADO SALOMON FLORES PEREZ,-----------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0229-46,01-316,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA COLEGIO SANTA MARGARITA,8A CALLE 0-41,22516034.0,CARLOS HUMBERTO GONZALEZ DE LEON,---,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0230-46,01-305,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA BILINGUE GUATEMALTECO,6A AVE. 2-34,22381144.0,ISIS IRAZEMA CANEL PALMA,--------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0235-46,01-102,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA PSICOPEDAGOGICO DE GUATEMALA JOSE MARIA VALERO,15 CALLE 1-19,22322811.0,ZIZI ARELY LOPEZ CHINCHILLA,DESCONOCIDO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0236-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA LICEO IBERO GUATEMALTECO,7A AVE. 3-75,22519212.0,AMADO SALOMON FLORES PEREZ,EDNA ALICIA MONTIEL CUSTODIO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0238-46,01-110,CIUDAD CAPITAL,ZONA 1,INSTITUTO TECNOLÓGICO DE COMPUTACION I.T.C.,2A CALLE 11-65,22200060.0,ZUHILEM YESENIA ESTRADA ORTIZ,DULCE MARÍA CHINCHILLA GODOY,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0240-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,8A CALLE 2-46,22500132.0,AMADO SALOMON FLORES PEREZ,DORA BEATRIZ CASTILLO DE LA CRUZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0241-46,01-305,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO LA ENSEÑANZA,5A CALLE 9-28,53904905.0,ISIS IRAZEMA CANEL PALMA,--------------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0243-46,01-318,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8A CALLE 12-46,22320683.0,LESLIE AZUCENA MONZON TECUN,PATRICIA LORENA LIDIA GIDI DAVID,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0244-46,01-102,CIUDAD CAPITAL,ZONA 1,INSTITUTO PARTICULAR MIXTO DIEGUEZ OLAVERRI,12 CALLE 2-31,22535170.0,ZIZI ARELY LOPEZ CHINCHILLA,----,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0245-46,99-001,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA DE EDUCACION INTEGRAL PAIDOS,11 CALLE 11-28,22322937.0,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,--------------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0247-46,01-317,CIUDAD CAPITAL,ZONA 1,INSTITUTO PARTICULAR MIXTO JOSE MARTI,8A CALLE 12-41,22539053.0,MARIANO DOMINGO ESTRADA TELETOR,REGINA CORALIA GARCÍA CONTRERAS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0248-46,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO EL CAMINO,10A CALLE 11-46,22511273.0,AMADO SALOMON FLORES PEREZ,ALAN JEFFREY BRENNER SANTIZO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0249-46,01-318,CIUDAD CAPITAL,ZONA 1,LICEO MONTESSORI,7A CALLE 12-51,22536087.0,LESLIE AZUCENA MONZON TECUN,KAREN DIANNÉ SIERRA PAREDES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0250-46,99-001,CIUDAD CAPITAL,ZONA 1,COLEGIO MIXTO MONTSERRAT,15 AVE. 2-63,22530372.0,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,DESCONOCIDO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0251-46,01-301,CIUDAD CAPITAL,ZONA 1,LICEO MERCANTIL,12 AVE. 12-31,22384330.0,ERICK ESTUARDO SANCHEZ ARCHILA,BRENDA SOFIA SOTO MIRANDA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0253-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO Y ACADEMIA PRACTICA COMERCIAL,6A. CALLE 0-25,22202869.0,ERICK ESTUARDO SANCHEZ ARCHILA,CLAUDIA PATRICIA MANSILLA CABRERA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0254-46,01-301,CIUDAD CAPITAL,ZONA 1,"COLEGIO MIXTO ""INDO LATINO""",4A AVE. 13-35,22380338.0,ERICK ESTUARDO SANCHEZ ARCHILA,SONIA ESTELA RAMÍREZ MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0257-46,01-105,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO MONTREAL,12 AVE. 13-25,22322306.0,SANTOS VICTORINO VASQUEZ PAXTOR,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0261-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA 'RAFAEL LANDIVAR',8A CALLE 2-46,22500132.0,AMADO SALOMON FLORES PEREZ,DORA BEATRIZ CASTILLO DE LA CRUZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0262-46,01-318,CIUDAD CAPITAL,ZONA 1,LICEO CANADIENSE,11 CALLE 1-53,23750055.0,LESLIE AZUCENA MONZON TECUN,ADA LUCRECIA MIJANGOS TEO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0263-46,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ 'PRACTICA COMERCIAL',6A. CALLE 0-25,22202870.0,CARLOS HUMBERTO GONZALEZ DE LEON,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DOMINICAL,GUATEMALA NORTE
00-01-0265-46,01-402,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA PRACTICO MODERNO,6A AVE. A 14-37,22324584.0,CARLOS HUMBERTO GONZALEZ DE LEON,----------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0266-46,01-403,CIUDAD CAPITAL,ZONA 1,LICEO DE COMPUTACION C.S.S.,10 AVENIDA 11-46,22513059.0,CARLOS HUMBERTO GONZALEZ DE LEON,-------------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0267-46,01-,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA JOSE MARTI,8A CALLE 12-41,22531246.0,MARIA FELICITA ROQUE CARRERA,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0268-46,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA GUATEMALTECO DE EDUCACION INTEGRAL PAIDOS,11 CALLE 11-28,22322937.0,CARLOS HUMBERTO GONZALEZ DE LEON,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0269-46,01-402,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE EDUCACION DIVERSIFICADA INDO LATINO,4A AVE. 13-35,22323038.0,CARLOS HUMBERTO GONZALEZ DE LEON,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0273-46,01-401,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA HUMANIDADES,10A CALLE 2-37,22383960.0,IXMUCANE ALDANA VILLAVICENCIO,DESCONOCIDO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0274-46,01-101,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO SAN VICENTE DE PAUL,18 AVE. 2-70,22517405.0,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,-----------,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0275-46,01-308,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'MIGUEL DE CERVANTES',5A CALLE 10-22,22325857.0,LEONEL AMILCAR RIOS FUENTES,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0277-46,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'ACADEMIA PRACTICA COMERCIAL' (BACHILLERATO POR MADUREZ),6TA. CALLE 0-25 ZONA 1,22028692.0,CARLOS HUMBERTO GONZALEZ DE LEON,DESCONOCIDO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0280-46,01-305,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNICO COMERCIAL NAHUALA,3A. AVENIDA 13-23,22329664.0,ISIS IRAZEMA CANEL PALMA,OVIDIO LISANDRA OROZCO LOPEZ,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0281-46,01-316,CIUDAD CAPITAL,ZONA 1,CENTRO CULTURAL DE LAS AMERICAS NO. 3,2A. AVENIDA 12-23,22321894.0,CARLOS HUMBERTO GONZALEZ DE LEON,BRENDA PAOLA GONZÁLEZ RECINOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
